Name (Name),Adresse (Address),Website (Webseite)
Baugenossenschaft Stadt und Land,"Kilchbergstrasse 37, 8038 Zurich",N/A
Baugenossenschaft Sunnegarte,"Sunnengartenstrasse 14, 8805 Richterswil",N/A
Baugenossenschaft Sunnig Heim,"Rainallee 149, 4125 Riehen",www.sunnigheim.ch
Baugenossenschaft Sunnigi Heimet,"Bachwiesenstrasse 1, 8405 Winterthur",N/A
Baugenossenschaft SUWITA,"Uhlandstrasse 11, 8037 Zurich",N/A
Baugenossenschaft SVEA,"Etzelstrasse 5, 8800 Thalwil",www.bgsvea.ch
Baugenossenschaft SWEBAHOV,"Wiedenstrasse 52c, 9470 Buchs",www.acv.ch
Baugenossenschaft Sud-Ost,"Dubendorfstrasse 217, 8051 Zurich",www.sued-ost.ch
"Baugenossenschaft Salihof, Olten","Dornacherstrasse 24, 4601 Olten",www.bgso.ch
Baugenossenschaft Tannenbach,"Speerstrasse 16, 8810 Horgen",N/A
Baugenossenschaft Thalegg,"Thaleggstrasse 6, 8134 Adliswil",N/A
Baugenossenschaft Turicum,"Weingartenstrasse 8, 8953 Dietikon",www.bgturicum.ch
Baugenossenschaft Uetikon am See,"Kleindorfstrasse 58, 8707 Uetikon am See",www.bgu-uetikon.ch
Baugenossenschaft Union (BGU),"Jonas-Furrer-Strasse 93, 8400 Winterthur",N/A
Baugenossenschaft Unterdorf,"Reckenhof 1, 6252 Dagmersellen",N/A
Baugenossenschaft Uster,"Imkerstrasse 7, 8610 Uster",www.baugenossenschaft-uster.ch
Baugenossenschaft VHTL St. Gallen,"Hochsterstrasse 6 A, 9016 St. Gallen",www.bgvhtl-sg.ch
Baugenossenschaft Vrenelisgartli,"Hofwiesenstrasse 55, 8057 Zurich",www.vrenelisgaertli.ch
Baugenossenschaft Waidberg,"Rotbuchstrasse 69, 8037 Zurich",www.bg-waidberg.ch
Baugenossenschaft Waidmatt,"Regulastrasse 6, 8046 Zurich",www.waidmatt.ch
Baugenossenschaft Werdmuhle BGW,"Ueberlandstrasse 52, 8051 Zurich",www.bg-werdmuehle.ch
